date,value
2022-07-30,51
2022-07-31,52
2022-08-01,54
2022-08-02,52
2022-08-03,48
2022-08-04,46
2022-08-05,48
2022-08-06,50
2022-08-07,49
2022-08-08,50
2022-08-09,48
2022-08-10,46
2022-08-11,46
2022-08-12,45
2022-08-13,42
2022-08-14,41
2022-08-15,46
2022-08-16,44
2022-08-17,44
2022-08-18,45
2022-08-19,44
2022-08-20,40
2022-08-21,39
2022-08-22,42
2022-08-23,37
2022-08-24,34
2022-08-25,38
2022-08-26,33
2022-08-27,34
2022-08-28,34
2022-08-29,37
2022-08-30,34
2022-08-31,32
2022-09-01,31
2022-09-02,30
2022-09-03,31
2022-09-04,31
2022-09-05,29
2022-09-06,26
2022-09-07,28
2022-09-08,27
2022-09-09,27
2022-09-10,26
2022-09-11,31
2022-09-12,30
2022-09-13,32
2022-09-14,35
2022-09-15,31
2022-09-16,31
2022-09-17,29
2022-09-18,32
2022-09-19,37
2022-09-20,34
2022-09-21,32
2022-09-22,34
2022-09-23,34
2022-09-24,34
2022-09-25,41
2022-09-26,45
2022-09-27,49
2022-09-28,44
2022-09-29,46
2022-09-30,43
2022-10-01,42
2022-10-02,52
2022-10-03,53
2022-10-04,49
2022-10-05,52
2022-10-06,53
2022-10-07,59
2022-10-08,52
2022-10-09,53
2022-10-10,56
2022-10-11,57
2022-10-12,54
2022-10-13,48
2022-10-14,47
2022-10-15,50
2022-10-16,57
2022-10-17,63
2022-10-18,63
2022-10-19,62
2022-10-20,62
2022-10-21,55
2022-10-22,51
2022-10-23,55
2022-10-24,62
2022-10-25,59
2022-10-26,59
2022-10-27,55
2022-10-28,49
2022-10-29,46
2022-10-30,51
2022-10-31,58
2022-11-01,52
2022-11-02,48
2022-11-03,45
2022-11-04,45
2022-11-05,43
2022-11-06,40
2022-11-07,37
2022-11-08,44
2022-11-09,40
2022-11-10,44
2022-11-11,45
2022-11-12,42
2022-11-13,40
2022-11-14,42
2022-11-15,39
2022-11-16,36
2022-11-17,32
2022-11-18,33
2022-11-19,34
2022-11-20,37
2022-11-21,43
2022-11-22,42
2022-11-23,38
2022-11-24,38
2022-11-25,43
2022-11-26,40
2022-11-27,34
2022-11-28,34
2022-11-29,37
2022-11-30,38
2022-12-01,39
2022-12-02,37
2022-12-03,37
2022-12-04,37
2022-12-05,44
2022-12-06,48
2022-12-07,42
2022-12-08,40
2022-12-09,41
2022-12-10,38
2022-12-11,38
2022-12-12,43
2022-12-13,40
2022-12-14,41
2022-12-15,36
2022-12-16,37
2022-12-17,36
2022-12-18,44
2022-12-19,48
2022-12-20,45
2022-12-21,54
2022-12-22,56
2022-12-23,56
2022-12-24,52
2022-12-25,53
2022-12-26,57
2022-12-27,61
2022-12-28,68
2022-12-29,66
2022-12-30,63
2022-12-31,60
